Parameter,Type,Min,Max,Default,Description
Adult_By_Pregnant,json object,NA,NA,NA,Determines the WHO stage at or above which pregnant adults are eligible for ART.<br> This parameter uses InterpolatedValueMap to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-adult-by-pregnant.json).
Adult_By_TB,json object,NA,NA,NA,Determines the WHO stage at or above which adults having active TB (via individual property Has_Active_TB) are eligible for ART.<br> This parameter uses InterpolatedValueMap to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-adult-by-tb.json).
Adult_By_WHO_Stage,json object,NA,NA,NA,Determines the WHO stage at or above which adults are eligible for ART.<br> This parameter uses InterpolatedValueMap to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-adult-by-who-stage.json).
Adult_Treatment_Age,float,-1,3.40282e+38,5,The age (in years) that delineates adult patients from pediatric patients for the purpose of treatment eligibility. Patients younger than this age may be eligible on the basis of their pediatric patient status.
Child_By_TB,json object,NA,NA,NA,Determines the WHO stage at or above which children having active TB (via individual property **Has_Active_TB**) are eligible for ART.<br> This parameter uses **InterpolatedValueMap** to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-child-by-tb.json).
Child_By_WHO_Stage,json object,NA,NA,NA,Determines the WHO stage at or above which children are eligible for ART.<br> This parameter uses **InterpolatedValueMap** to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-child-by-who-stage.json).
Child_Treat_Under_Age_In_Years_Threshold,json object,NA,NA,NA,"Determines the age at which children are eligible for ART regardless of CD4, WHO stage, or other factors.<br> This parameter uses **InterpolatedValueMap** to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-child-treat-under-age-in-years-threshold.json)."
Cost_To_Consumer,float,0,3.40282e+38,1,"The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation."
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Individual_Property_Active_TB_Key,string,NA,NA,UNINITIALIZED,The **IndividualProperty** key ('HasActiveTB') used to determine whether the individual has TB.
Individual_Property_Active_TB_Value,string,NA,NA,UNINITIALIZED,The **IndividualProperty** value ('Yes') used to determine whether the individual has TB.
Intervention_Name,string,NA,NA,HIVARTStagingCD4AgnosticDiagnostic,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Negative_Diagnosis_Event,enum,NA,NA,"""""","If an individual tests negative, this specifies an event that may trigger another intervention when the event occurs. See [Event list](parameter-campaign-event-list.md) for possible values."
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Positive_Diagnosis_Event,enum,NA,NA,"""""","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. See [Event list](parameter-campaign-event-list.md) for possible values."
Times,array of floats,0,999999,[],"An array of years to match the defined **Values**; used with parameters **Adult_By_Pregnant**, **Adult_By_TB**, **Adult_By_WHO_Stage**, **Child_By_TB**, **Child_By_WHO_Stage**, and **Child_Treat_Under_Age_In_Years_Threshold**. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-times.json)."
Values,array of floats,0,3.40282e+38,[],"An array of values to match the defined **Times**; used with parameters **Adult_By_Pregnant**, **Adult_By_TB**, **Adult_By_WHO_Stage**, **Child_By_TB**, **Child_By_WHO_Stage**, and **Child_Treat_Under_Age_In_Years_Threshold**. See [example](../json/campaign-hivartstagingcd4agnosticdiagnostic-values.json)."
