Parameter,Type,Min,Max,Default,Description
End_Year,float,1900,2200,2200,The final date at which this set of targeted coverages should be applied (expiration).
Intervention_Config,json object,NA,NA,NA,The nested JSON of the actual intervention to be distributed by this event coordinator. See [example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-intervention-config.json).
Node_Property_Restrictions,array of json objects,NA,NA,NA,"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br> <br> You can specify AND and OR combinations of key:value pairs with this parameter. See [example](../json/common-node-property-restrictions.json)."
Property_Restrictions,array of json objects,,,[],"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br> <br> To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator. See [example](../json/common-property-restrictions.json)."
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. See [example](../json/common-property-restrictions-within-node.json)."
Target_Age_Max,float,0,9.3228e+35,9.3228E+35,"The upper end of ages targeted for an intervention, in years."
Target_Age_Min,float,0,9.3228E+35,0,"The lower end of ages targeted for an intervention, in years."
Target_Demographic,enum,NA,NA,Everyone,The target demographic group. Possible values are:<br> <br> * Everyone<br> * ExplicitAgeRanges<br> * ExplicitAgeRangesAndGender<br> * ExplicitGender<br> * ExplicitDiseaseState
Target_Gender,enum,NA,NA,All,Specifies the gender restriction for the intervention. Possible values are:<br> <br> * Male<br> * Female<br> * All
Target_Residents_Only,boolean,0,1,0,"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence)."
Targeting_Config,json object,NA,NA,NA,Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md). See [example](../json/common-targeting-config.json).
Time_Value_Map,json object,NA,NA,NA,"The years (times) and matching values of coverages. This parameter uses **InterpolatedValueMap** to create a JSON structure containing one array of **Times** and one for **Values**, which allows for a time-variable probability that can take on any shape over time. When queried at a simulation year corresponding to one of the listed **Times**, it returns the corresponding **Value**. The **Times** and **Values** must be of equal length, and can consist of a single value. **Times** must monotonically increase. See [example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-time-value-map.json)."
Tracking_Config,json object,NA,NA,NA,"Defines the attribute to be tracked within the targeted group; the intervention will be distributed to people without the attribute, if coverage is below the target level the time of polling. See [example](../json/campaign-referencetrackingeventcoordinatortrackingconfig-tracking-config.json)."
Update_Period,float,1,3650,365,The time between distribution updates.
